<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,251228,090000,302.6,302.6,302.6,302.6,4793
SBER,60,251228,100000,302.61,302.63,301.52,301.63,758179
SBER,60,251228,110000,301.63,302.1,301.37,301.88,657314
SBER,60,251228,120000,301.88,302.1,301.84,301.97,113423
SBER,60,251228,130000,301.97,302.17,301.72,301.92,218915
SBER,60,251228,140000,301.92,302.19,301.8,302.19,197894
SBER,60,251228,150000,302.19,302.5,302.16,302.21,232582
SBER,60,251228,160000,302.21,302.51,302.15,302.42,518244
SBER,60,251228,170000,302.48,302.83,302.41,302.79,184704
SBER,60,251228,180000,302.78,302.8,302.5,302.55,227852
SBER,60,251229,070000,302.99,303,302,302.63,972172
SBER,60,251229,080000,302.62,302.9,302.31,302.65,475042
SBER,60,251229,090000,302.65,302.82,301.88,302.36,1241778
SBER,60,251229,100000,302.33,302.67,301.84,302.42,1523147
SBER,60,251229,110000,302.41,305.9,302.25,305.86,6897337
SBER,60,251229,120000,305.84,306.2,303.81,304.32,7993224
SBER,60,251229,130000,304.29,304.67,304.01,304.18,1642674
SBER,60,251229,140000,304.18,304.39,303.75,304.08,1571913
SBER,60,251229,150000,304.11,304.53,303.49,303.62,1476880
SBER,60,251229,160000,303.67,303.68,300.44,300.68,7121275
SBER,60,251229,170000,300.71,301.5,300.5,300.93,4174477
